 orderid	orderdate
10304	2006-09-12 00:00:00.000
10303	2006-09-11 00:00:00.000
10302	2006-09-10 00:00:00.000
10301	2006-09-09 00:00:00.000
10300	2006-09-09 00:00:00.000
10299	2006-09-06 00:00:00.000
10298	2006-09-05 00:00:00.000
10297	2006-09-04 00:00:00.000
10296	2006-09-03 00:00:00.000
10295	2006-09-02 00:00:00.000
10294	2006-08-30 00:00:00.000
10293	2006-08-29 00:00:00.000
10292	2006-08-28 00:00:00.000
10291	2006-08-27 00:00:00.000
10290	2006-08-27 00:00:00.000
10289	2006-08-26 00:00:00.000
10288	2006-08-23 00:00:00.000
10287	2006-08-22 00:00:00.000
10286	2006-08-21 00:00:00.000
10285	2006-08-20 00:00:00.000
10284	2006-08-19 00:00:00.000
10283	2006-08-16 00:00:00.000
10282	2006-08-15 00:00:00.000
10281	2006-08-14 00:00:00.000
10280	2006-08-14 00:00:00.000
10279	2006-08-13 00:00:00.000
10278	2006-08-12 00:00:00.000
10277	2006-08-09 00:00:00.000
10276	2006-08-08 00:00:00.000
10275	2006-08-07 00:00:00.000
10274	2006-08-06 00:00:00.000
10273	2006-08-05 00:00:00.000
10272	2006-08-02 00:00:00.000
10271	2006-08-01 00:00:00.000
10270	2006-08-01 00:00:00.000
10269	2006-07-31 00:00:00.000
10268	2006-07-30 00:00:00.000
10267	2006-07-29 00:00:00.000
10266	2006-07-26 00:00:00.000
10265	2006-07-25 00:00:00.000
10264	2006-07-24 00:00:00.000
10263	2006-07-23 00:00:00.000
10262	2006-07-22 00:00:00.000
10261	2006-07-19 00:00:00.000
10260	2006-07-19 00:00:00.000
10259	2006-07-18 00:00:00.000
10258	2006-07-17 00:00:00.000
10257	2006-07-16 00:00:00.000
10256	2006-07-15 00:00:00.000
10255	2006-07-12 00:00:00.000
10254	2006-07-11 00:00:00.000
10253	2006-07-10 00:00:00.000
10252	2006-07-09 00:00:00.000
10251	2006-07-08 00:00:00.000
10250	2006-07-08 00:00:00.000
10249	2006-07-05 00:00:00.000
10248	2006-07-04 00:00:00.000
